experiment,basis,distance,rounds,center_row,center_col,shots,actual_flip_rate,pymatching_error_rate,correlated_matching_error_rate,belief_matching_error_rate,tensor_network_error_rate
surface_code_bZ_d3_r01_center_7_5,Z,3,1,7,5,50000,0.09278,0.01886,0.01886,0.01904,0.0182
surface_code_bZ_d3_r03_center_3_5,Z,3,3,3,5,50000,0.20904,0.09166,0.08656,0.07854,0.07686
surface_code_bZ_d3_r03_center_5_3,Z,3,3,5,3,50000,0.19118,0.08982,0.08542,0.0788,0.07504
surface_code_bZ_d3_r03_center_5_7,Z,3,3,5,7,50000,0.23526,0.09426,0.08618,0.08102,0.07816
surface_code_bZ_d3_r03_center_7_5,Z,3,3,7,5,50000,0.24016,0.08014,0.0738,0.06924,0.0679
surface_code_bZ_d3_r05_center_3_5,Z,3,5,3,5,50000,0.28896,0.15144,0.14044,0.12666,0.12488
surface_code_bZ_d3_r05_center_5_3,Z,3,5,5,3,50000,0.27808,0.15324,0.14122,0.13258,0.1292
surface_code_bZ_d3_r05_center_5_7,Z,3,5,5,7,50000,0.32832,0.15356,0.1372,0.12462,0.11904
surface_code_bZ_d3_r05_center_7_5,Z,3,5,7,5,50000,0.33222,0.15776,0.14076,0.13138,0.12482
surface_code_bZ_d3_r07_center_3_5,Z,3,7,3,5,50000,0.36636,0.21896,0.19932,0.18514,0.17948
surface_code_bZ_d3_r07_center_5_3,Z,3,7,5,3,50000,0.33862,0.2067,0.18756,0.17484,0.16884
surface_code_bZ_d3_r07_center_5_7,Z,3,7,5,7,50000,0.3881,0.2067,0.1826,0.16674,0.16246
surface_code_bZ_d3_r07_center_7_5,Z,3,7,7,5,50000,0.38844,0.19018,0.17406,0.1581,0.15186
surface_code_bZ_d3_r09_center_3_5,Z,3,9,3,5,50000,0.40048,0.2575,0.23748,0.21916,0.21608
surface_code_bZ_d3_r09_center_5_3,Z,3,9,5,3,50000,0.37984,0.25104,0.22872,0.21594,0.20622
surface_code_bZ_d3_r09_center_5_7,Z,3,9,5,7,50000,0.4324,0.24946,0.22298,0.20602,0.19938
surface_code_bZ_d3_r09_center_7_5,Z,3,9,7,5,50000,0.42816,0.23106,0.21344,0.19752,0.18948
surface_code_bZ_d3_r11_center_3_5,Z,3,11,3,5,50000,0.429,0.29764,0.2729,0.25632,0.25336
surface_code_bZ_d3_r11_center_5_3,Z,3,11,5,3,50000,0.40648,0.28432,0.26024,0.24664,0.2376
surface_code_bZ_d3_r11_center_5_7,Z,3,11,5,7,50000,0.45458,0.29106,0.26042,0.24254,0.2374
surface_code_bZ_d3_r11_center_7_5,Z,3,11,7,5,50000,0.45204,0.25798,0.23942,0.22348,0.21452
surface_code_bZ_d3_r13_center_3_5,Z,3,13,3,5,50000,0.44548,0.32922,0.30284,0.28424,0.28296
surface_code_bZ_d3_r13_center_5_3,Z,3,13,5,3,50000,0.43478,0.32518,0.2985,0.28368,0.26964
surface_code_bZ_d3_r13_center_5_7,Z,3,13,5,7,50000,0.4751,0.32666,0.29634,0.27464,0.26692
surface_code_bZ_d3_r13_center_7_5,Z,3,13,7,5,50000,0.46874,0.31464,0.28822,0.2707,0.26274
surface_code_bZ_d3_r15_center_3_5,Z,3,15,3,5,50000,0.45754,0.35348,0.3323,0.31262,0.31108
surface_code_bZ_d3_r15_center_5_3,Z,3,15,5,3,50000,0.45052,0.35134,0.32294,0.31038,0.29748
surface_code_bZ_d3_r15_center_5_7,Z,3,15,5,7,50000,0.48222,0.35442,0.32462,0.30624,0.29772
surface_code_bZ_d3_r15_center_7_5,Z,3,15,7,5,50000,0.4787,0.33154,0.30402,0.28654,0.28246
surface_code_bZ_d3_r17_center_3_5,Z,3,17,3,5,50000,0.46842,0.38476,0.3607,0.34342,0.33992
